Key,SymbolName,EnkaID,filename,ascensionMaterial,en,chs,cht,jp,kr,fr,it,ru,de,vi
$asset.weapon:LithicSpear,LithicSpear,13406,UI_EquipIcon_Pole_Lapis,weaponAerosiderite,Lithic Spear,千岩长枪,千岩長槍,千岩長槍,천암장창,Lance des Millelithes,Lancia litica,Каменное копьё,Millelithenlanze,Thương Thiên Nham
$asset.weapon:FavoniusLance,FavoniusLance,13407,UI_EquipIcon_Pole_Zephyrus,weaponGladiator,Favonius Lance,西风长枪,西風長槍,西風長槍,페보니우스 장창,Lance de Favonius,Lancia di Favonius,Копьё Фавония,Favonius-Lanze,Thương Tây Phong
$asset.weapon:RoyalSpear,RoyalSpear,13408,UI_EquipIcon_Pole_Theocrat,weaponElixir,Royal Spear,宗室猎枪,宗室獵槍,旧貴族猟槍,왕실의 장창,Lance de chasse royale,Lancia reale,Королевское копьё,Königlicher Jagdspeer,Thương Săn Tông Thất
$asset.weapon:DragonspineSpear,DragonspineSpear,13409,UI_EquipIcon_Pole_Everfrost,weaponBorealWolf,Dragonspine Spear,龙脊长枪,龍脊長槍,ドラゴンスピア,용의 척추,Lance Dosdragon,Lancia del Picco del Drago,Копьё Драконьего хребта,Drachengratspeer,Thương Long Tích
$asset.weapon:KitainCrossSpear,KitainCrossSpear,13414,UI_EquipIcon_Pole_Bakufu,weaponKijinMask,Kitain Cross Spear,喜多院十文字,喜多院十文字,喜多院十文字槍,키타인 십자창,Lance en croix de Kitain,Lancia crociata di Kitain,Крест-копьё Китаин,Kitain-Kreuzlanze,Giáo Thập Tự Kitain
$asset.weapon:TheCatch,TheCatch,13415,UI_EquipIcon_Pole_Mori,weaponKijinMask,The Catch,「渔获」,「漁獲」,「漁獲」,「어획」,« La prise »,La Preda,«Улов»,„Der Fang“,Lao Xiên Cá
$asset.weapon:WavebreakersFin,WavebreakersFin,13416,UI_EquipIcon_Pole_Maria,weaponKijinMask,Wavebreaker's Fin,断浪长鳍,斷浪長鰭,斬波のひれ長,파도 베는 지느러미,Aileron de brise-vagues,Pinna del Frangionde,Режущий волны плавник,Wellenbrecherflosse,Vây Cá Chẻ Sóng
$asset.weapon:Moonpiercer,Moonpiercer,13417,UI_EquipIcon_Pole_Arakalari,weaponOasisGarden,Moonpiercer,贯月矢,貫月矢,ムーンピアサー,달을 꿰뚫는 화살,Perce-lune,Trafiggiluna,Пронзающий луну,Monddurchbohrer,Quán Nguyệt Thương
$asset.weapon:MissiveWindspear,MissiveWindspear,13419,UI_EquipIcon_Pole_Windvane,weaponBorealWolf,Missive Windspear,风信之锋,風信之鋒,風信の矛,날카로운 바람의 서신,Lance du vent saisonnier,Missiva del vento,Копьё послания ветров,Spitze der klingenden Winde,Mũi Nhọn Của Gió
$asset.weapon:BalladOfTheFjords,BalladOfTheFjords,13424,UI_EquipIcon_Pole_Shanty,weaponPristineSea,Ballad of the Fjords,峡湾长歌,峽灣長歌,フィヨルドの歌,협만의 노래,Ballade des fjords,Ballata dei fiordi,Баллада фьордов,Ballade der Fjorde,Khúc Ca Vịnh Hẹp
$asset.weapon:RightfulReward,RightfulReward,13425,UI_EquipIcon_Pole_Vorpal,weaponPristineSea,Rightful Reward,公义的酬报,公義的酬報,正義の報酬,공의의 보상,Récompense légitime,Equa ricompensa,Справедливая награда,Rechtmäßige Belohnung,Thù Lao Của Chính Nghĩa
$asset.weapon:DialoguesOfTheDesertSages,DialoguesOfTheDesertSages,13426,UI_EquipIcon_Pole_Caduceus,weaponTalisman,Dialogues of the Desert Sages,沙中伟贤的对答,沙中偉賢的對答,砂中の賢者達の問答,위대한 사막 현자의 대답,Dialogues des sages du désert,Dialoghi dei saggi del deserto,Диалог пустынных мудрецов,Dialoge der Weisen der Wüste,Đối Thoại Của Hiền Giả Sa Mạc
$asset.weapon:ProspectorsDrill,ProspectorsDrill,13427,UI_EquipIcon_Pole_Mechanic,weaponAncientChord,Prospector's Drill,勘探钻机,勘探鑽機,プロスペクタードリル,탐사용 드릴,Foret de prospecteur,Trivella mineraria,Бур рудоискателя,Erkundungsbohrer,Mũi Khoan Thăm Dò
$asset.weapon:FootprintOfTheRainbow,FootprintOfTheRainbow,13431,UI_EquipIcon_Pole_Isikhulu,weaponSacredLord,Footprint of the Rainbow,虹的行迹,虹的行跡,虹の行方,무지개의 행적,Trace d'arc-en-ciel,Orme iridate,След радуги,Spuren des Regenbogens,Vết Tích Cầu Vồng
$asset.weapon:StaffOfHoma,StaffOfHoma,13501,UI_EquipIcon_Pole_Homa,weaponAerosiderite,Staff of Homa,护摩之杖,護摩之杖,護摩の杖,호마의 지팡이,Bâton de Homa,Bastone di Homa,Посох Хомы,Homa-Stab,Trượng Hộ Ma
$asset.weapon:SkywardSpine,SkywardSpine,13502,UI_EquipIcon_Pole_Dvalin,weaponGladiator,Skyward Spine,天空之脊,天空之脊,天空の脊,천공의 마루,Berge de la Voûte d'Azur,Lancia d'osso celeste,Небесная ось,Himmelsgrat,Xương Sống Thiên Không
$asset.weapon:VortexVanquisher,VortexVanquisher,13504,UI_EquipIcon_Pole_Kunwu,weaponAerosiderite,Vortex Vanquisher,贯虹之槊,貫虹之槊,破天の槍,관홍의 창,Perceur prismatique,Squarciavortice,Покоритель вихря,Regenbogenstecher,Giáo Nịnh Thần
$asset.weapon:PrimordialJadeWingedSpear,PrimordialJadeWingedSpear,13505,UI_EquipIcon_Pole_Morax,weaponGuyun,Primordial Jade Winged-Spear,和璞鸢,和璞鳶,和璞鳶,화박연,Lance de jade ailée,Lancia di giada primordiale,Нефритовый коршун,Urzeitlicher Jadespeer,Hòa Phác Diên
$asset.weapon:CalamityQueller,CalamityQueller,13507,UI_EquipIcon_Pole_Santika,weaponElixir,Calamity Queller,息灾,息災,息災,식재,Étouffeur de calamités,Flagello delle calamità,Усмиритель бед,Ende des Unheils,Hủy Diệt
$asset.weapon:EngulfingLightning,EngulfingLightning,13509,UI_EquipIcon_Pole_Narukami,weaponKijinMask,Engulfing Lightning,薙草之稻光,薙草之稻光,草薙の稲光,예초의 번개,Lumière du faucheur,Fulmine fagocitante,Сияющая жатва,Grasschnittstrahl,Đoạn Thảo Trường Đao
$asset.weapon:StaffOfTheScarletSands,StaffOfTheScarletSands,13511,UI_EquipIcon_Pole_Deshret,weaponOasisGarden,Staff of the Scarlet Sands,赤沙之杖,赤沙之杖,赤砂の杖,적색 사막의 지팡이,Bâton des sables écarlates,Bastone delle sabbie scarlatte,Посох алых песков,Stab der roten Sande,Quyền Trượng Cát Đỏ
$asset.weapon:CrimsonMoonSemblance,CrimsonMoonSemblance,13512,  UI_EquipIcon_Pole_BloodMoon,weaponPristineSea,Crimson Moon's Semblance,赤月之形,赤月之形,赤月のシルエット,붉은 달의 형상,Semblance de la lune écarlate,Forma della Luna cremisi,Очертания алой луны,Form des scharlachroten Mondes,Hình Thái Xích Nguyệt
$asset.weapon:LumidouceElegy,LumidouceElegy,13513,UI_EquipIcon_LumidouceElegy,weaponPristineSea,Lumidouce Elegy,柔灯挽歌,柔燈輓歌,ルミドゥースの挽歌,등방울꽃의 애가,Élégie de Lumidouce,Elegia di Lumidouce,Элегия Люмидус,Lumidouce-Elegie,Bi Ca Lumidouce
$asset.weapon:ApprenticesNotes,ApprenticesNotes,14101,UI_EquipIcon_Catalyst_Apprentice,weaponDecarabian,Apprentice's Notes,学徒笔记,學徒筆記,生徒ノート,학도의 노트,Notes de l'apprenti,Appunti dell'apprendista,Записи ученика,Aufzeichnungen eines Lehrlings,Nhật Ký Học Sinh
$asset.weapon:PocketGrimoire,PocketGrimoire,14201,UI_EquipIcon_Catalyst_Pocket,weaponDecarabian,Pocket Grimoire,口袋魔导书,口袋魔導書,ポケット魔導書,포켓 주술서,Grimoire de poche,Grimorio tascabile,Карманный гримуар,Taschenzauberbuch,Sổ Tay Ma Pháp
$asset.weapon:MagicGuide,MagicGuide,14301,UI_EquipIcon_Catalyst_Intro,weaponDecarabian,Magic Guide,魔导绪论,魔導緒論,魔導緒論,마도 서론,Guide de magie,Manuale di magia,Руководство по магии,Magieführer,Tóm Tắt Ma Pháp
$asset.weapon:ThrillingTalesOfDragonSlayers,ThrillingTalesOfDragonSlayers,14302,UI_EquipIcon_Catalyst_Pulpfic,weaponBorealWolf,Thrilling Tales of Dragon Slayers,讨龙英杰谭,討龍英傑譚,龍殺しの英傑譚,드래곤 슬레이어 영웅담,Histoire des chasseurs de dragon,Epiche gesta degli Ammazzadraghi,Эпос о драконоборцах,Von den Heldentaten der Drachenbezwinger,Câu Chuyện Diệt Rồng
$asset.weapon:OtherworldlyStory,OtherworldlyStory,14303,UI_EquipIcon_Catalyst_Lightnov,weaponGladiator,Otherworldly Story,异世界行记,異世界行記,異世界旅行記,이세계 여행기,Conte d'un autre monde,Storie dell'altro mondo,Потусторонняя история,Geschichten einer anderen Welt,Tiểu Thuyết Dị Giới
$asset.weapon:EmeraldOrb,EmeraldOrb,14304,UI_EquipIcon_Catalyst_Jade,weaponGuyun,Emerald Orb,翡玉法球,翡玉法球,翡玉法珠,비취 오브,Orbe jadien,Sfera smeraldina,Изумрудный шар,Jadekugel,Quả Cầu Ngọc
$asset.weapon:TwinNephrite,TwinNephrite,14305,UI_EquipIcon_Catalyst_Phoney,weaponElixir,Twin Nephrite,甲级宝珏,甲級寶玨,特級の宝玉,1급 보옥,Néphrite jumelle,Nefrite gemella,Парный нефрит,Zwillingsnephrit,Ngọc Sinh Đôi
$asset.weapon:FavoniusCodex,FavoniusCodex,14401,UI_EquipIcon_Catalyst_Zephyrus,weaponDecarabian,Favonius Codex,西风秘典,西風秘典,西風秘典,페보니우스 비전,Code de Favonius,Codice di Favonius,Кодекс Фавония,Favonius-Kodex,Tây Phong Mật Điển
$asset.weapon:TheWidsith,TheWidsith,14402,UI_EquipIcon_Catalyst_Troupe,weaponBorealWolf,The Widsith,流浪乐章,流浪樂章,流浪楽章,음유시인의 악장,Mouvement vagabond,Sinfonia errante,Песнь странника,Landstreichernoten,Chương Nhạc Lang Thang
$asset.weapon:SacrificialFragments,SacrificialFragments,14403,UI_EquipIcon_Catalyst_Fossil,weaponGladiator,Sacrificial Fragments,祭礼残章,祭禮殘章,祭礼の断片,제례의 악장,Mémoires de rituels,Frammenti sacrificali,Церемониальные мемуары,Opferrituale,Mảnh Chương Tế Lễ
$asset.weapon:RoyalGrimoire,RoyalGrimoire,14404,UI_EquipIcon_Catalyst_Theocrat,weaponDecarabian,Royal Grimoire,宗室秘法录,宗室秘法錄,旧貴族秘法録,왕실의 비전록,Grimoire royal,Grimorio reale,Королевский гримуар,Königliches Zauberbuch,Mật Pháp Tông Thất
$asset.weapon:SolarPearl,SolarPearl,14405,UI_EquipIcon_Catalyst_Resurrection,weaponGuyun,Solar Pearl,匣里日月,匣裡日月,匣中日月,일월의 정수,Perle solaire,Perla solare,Солнечная жемчужина,Sonne und Mond,Nhật Nguyệt Hạp
$asset.weapon:PrototypeAmber,PrototypeAmber,14406,UI_EquipIcon_Catalyst_Proto,weaponElixir,Prototype Amber,试作金珀,試作金珀,金珀·試作,황금 호박 프로토타입,Malice (prototype),Prototipo d'ambra,Прототип: Янтарь,Bernstein-Prototyp,Mẫu Kim Phách
$asset.weapon:MappaMare,MappaMare,14407,UI_EquipIcon_Catalyst_Exotic,weaponAerosiderite,Mappa Mare,万国诸海图谱,萬國諸海圖譜,万国諸海の図譜,만국 항해용해도,Atlas des terres et des mers,Mappa mare,Морской атлас,Illustrationen von Landen und Wassern,Hải Đồ Vạn Quốc
$asset.weapon:BlackcliffAgate,BlackcliffAgate,14408,UI_EquipIcon_Catalyst_Blackrock,weaponGuyun,Blackcliff Agate,黑岩绯玉,黑岩緋玉,黒岩の緋玉,흑암 홍옥,Agate de Rochenoire,Agata di Rupenera,Черногорский агат,Schwarzstein-Achat,Hắc Nham Phỉ Ngọc
$asset.weapon:EyeOfPerception,EyeOfPerception,14409,UI_EquipIcon_Catalyst_Truelens,weaponElixir,Eye of Perception,昭心,昭心,昭心,소심,Œil de la perception,Occhio della percezione,Око сознания,Herzensblick,Chiêu Tâm
$asset.weapon:WineAndSong,WineAndSong,14410,UI_EquipIcon_Catalyst_Outlaw,weaponBorealWolf,Wine and Song,暗巷的酒与诗,暗巷的酒與詩,ダークアレイの酒と詩,뒷골목의 술과 시,Vins et chants,Vino e musica,Вино и песни,Wein und Gesang in den Gassen,Rượu Và Thơ Nơi Hẻm Tối
$asset.weapon:Frostbearer,Frostbearer,14412,UI_EquipIcon_Catalyst_Everfrost,weaponGladiator,Frostbearer,忍冬之果,忍冬之果,冬忍びの実,인동의 열매,Fruit du permafrost,Serbagelo,Плод вечной мерзлоты,Permafrostfrucht,Trái Chịu Lạnh
$asset.weapon:DodocoTales,DodocoTales,14413,UI_EquipIcon_Catalyst_Ludiharpastum,weaponBorealWolf,Dodoco Tales,嘟嘟可故事集,嘟嘟可故事集,ドドコの物語,도도코 이야기집,Contes de Dodoco,Fiabe di Dodoco,Истории Додоко,Dodoco-Geschichten,Tuyển tập các câu chuyện về Dodoco
$asset.weapon:HakushinRing,HakushinRing,14414,UI_EquipIcon_Catalyst_Bakufu,weaponDistantSea,Hakushin Ring,白辰之环,白辰之環,白辰の輪,하쿠신의 고리,Anneau des Hakushin,Anello di Hakushin,Кольцо Хакусин,Hakushin-Ring,Vòng Bạch Thần
$asset.weapon:OathswornEye,OathswornEye,14415,UI_EquipIcon_Catalyst_Jyanome,weaponDistantSea,Oathsworn Eye,证誓之明瞳,證誓之明瞳,誓いの明瞳,맹세의 눈동자,Œil d'assermentation,Occhio del giuramento,Око клятвы,Auge des Gelöbnisses,Con Ngươi Tuyên Thệ
$asset.weapon:WanderingEvenstar,WanderingEvenstar,14416,UI_EquipIcon_Catalyst_Pleroma,weaponOasisGarden,Wandering Evenstar,流浪的晚星,流浪的晚星,彷徨える星,방랑하는 저녁별,Étoile du soir errante,Astro del vespro errante,Скитающаяся звезда,Wandernder Abendstern,Sao Đêm Rong Ruổi
$asset.weapon:FruitOfFulfillment,FruitOfFulfillment,14417,UI_EquipIcon_Catalyst_Arakalari,weaponOasisGarden,Fruit of Fulfillment,盈满之实,盈滿之實,満悦の実,충만의 열매,Le fruit de l'accomplissement,Frutto della sazietà,Плод восполнения,Vollmondfrucht,Quả Mọng
$asset.weapon:SacrificialJade,SacrificialJade,14424,UI_EquipIcon_Catalyst_Yue,weaponGuyun,Sacrificial Jade,遗祀玉珑,遺祀玉瓏,古祠の瓏,제사의 옥,Jade sacrificiel,Giada sacrificale,Жертвенный нефрит,Zeremonielle Jade,Ngọc Bích Hiến Tế
$asset.weapon:FlowingPurity,FlowingPurity,14425,UI_EquipIcon_Catalyst_Vorpal,weaponDewdrop,Flowing Purity,纯水流华,純水流華,純水流華,순수한 달빛 물결,Pureté fluide,Corrente d'acqua pura,Сверкание чистых вод,Fließende Reinheit,Dòng Chảy Tinh Khiết
$asset.weapon:BalladOfTheBoundlessBlue,BalladOfTheBoundlessBlue,14426,UI_EquipIcon_Catalyst_DandelionPoem,weaponBorealWolf,Ballad of the Boundless Blue,无垠蔚蓝之歌,無垠蔚藍之歌,果てなき紺碧の唄,끝없는 쪽빛의 노래,Ballade d'un azur infini,Ballata del blu sempiterno,Песнь необъятной лазури,Ballade des unendlichen Blaus,Khúc Ca Xanh Bao La
$asset.weapon:AshGravenDrinkingHorn,AshGravenDrinkingHorn,14427,UI_EquipIcon_Catalyst_ConchSprayer,weaponNightWind,Ash-Graven Drinking Horn,苍纹角杯,蒼紋角杯,蒼紋の角杯,푸른 문양 뿔잔,Corne à boire cendrée,Corno cinereo,Пепельный рог,Aschgraues Trinkhorn,Sừng Rượu Vân Xanh
$asset.weapon:RingOfYaxche,RingOfYaxche,14431,UI_EquipIcon_Catalyst_Isikhulu,weaponSacredLord,Ring of Yaxche,木棉之环,木棉之環,ヤシュチェの環,약스체의 고리,Anneau de Yaxche,Anello di Yaxche,Кольцо Яшче,Yaxche-Ring,Vòng Yaxche
$asset.weapon:SkywardAtlas,SkywardAtlas,14501,UI_EquipIcon_Catalyst_Dvalin,weaponBorealWolf,Skyward Atlas,天空之卷,天空之卷,天空の巻,천공의 두루마리,Atlas de la Voûte d'Azur,Atlante celeste,Небесный атлас,Himmelsatlas,Quyển Thiên Không
$asset.weapon:LostPrayerToTheSacredWinds,LostPrayerToTheSacredWinds,14502,UI_EquipIcon_Catalyst_Fourwinds,weaponGladiator,Lost Prayer to the Sacred Winds,四风原典,四風原典,四風原典,사풍 원서,L'origine des Quatre Vents,Origine dei venti sacri,Молитва святым ветрам,Gebete der Vier Winde,Điển Tích Tây Phong
$asset.weapon:MemoryOfDust,MemoryOfDust,14504,UI_EquipIcon_Catalyst_Kunwu,weaponAerosiderite,Memory of Dust,尘世之锁,塵世之鎖,浮世の錠,속세의 자물쇠,Chaînes mortelles,Memorie terrene,Память о пыли,Ketten des Diesseits,Khóa Trần Thế
$asset.weapon:JadefallsSplendor,JadefallsSplendor,14505,UI_EquipIcon_Catalyst_Morax,weaponGuyun,Jadefall's Splendor,碧落之珑,碧落之瓏,碧落の瓏,벽락의 옥,Splendeur de l'azur,Splendore del Giadiluvio,Великолепие лазурного свода,Jadesturz-Pracht,Ngọc Bích Huy Hoàng
$asset.weapon:EverlastingMoonglow,EverlastingMoonglow,14506,UI_EquipIcon_Catalyst_Kaleido,weaponDistantSea,Everlasting Moonglow,不灭月华,不滅月華,不滅の月華,불멸의 달빛,Lueur de la lune éternelle,Luna perenne,Вечное лунное сияние,Ewiger Mondschein,Vầng Trăng Bất Diệt
$asset.weapon:KagurasVerity,KagurasVerity,14509,UI_EquipIcon_Catalyst_Narukami,weaponKijinMask,Kagura's Verity,神乐之真意,神樂之真意,神楽の真意,카구라의 진의,Vérité de Kagura,Verità della Kagura,Истина кагура,Kaguras Wahrheit,Chân Ý Của Kagura
$asset.weapon:AThousandFloatingDreams,AThousandFloatingDreams,14511,UI_EquipIcon_Catalyst_Ayus,weaponOasisGarden,A Thousand Floating Dreams,千夜浮梦,千夜浮夢,千夜に浮かぶ夢,떠오르는 천일 밤의 꿈,Mille rêves flottants,Mille sogni fluttuanti,Сновидения тысячи ночей,Fließende Träume von tausend Nächten,Cõi Mộng Ngàn Đêm
$asset.weapon:TulaytullahsRemembrance,TulaytullahsRemembrance,14512,UI_EquipIcon_Catalyst_Alaya,weaponScorchingMight,Tulaytullah's Remembrance,图莱杜拉的回忆,圖萊杜拉的回憶,トゥライトゥーラの記憶,툴레이툴라의 기억,Mémoire de Tulaytullah,Rimembranza di Tulaytullah,Воспоминания Тулайтуллы,Tulaytullahs Erinnerung,Hồi Ức Tulaytullah
$asset.weapon:CashflowSupervision,CashflowSupervision,14513,UI_EquipIcon_Catalyst_Wheatley,weaponPristineSea,Cashflow Supervision,金流监督,金流監督,凛流の監視者,현금 흐름 감독,Supervision de trésorerie,Supervisione pecuniaria,Казначейский надзор,Monetäre Aufsichtseinheit,Quản Đốc Vàng Ròng
$asset.weapon:TomeOfTheEternalFlow,TomeOfTheEternalFlow,14514,UI_EquipIcon_Catalyst_Iudex,weaponDewdrop,Tome of the Eternal Flow,万世流涌大典,萬世流湧大典,久遠流転の大典,영원히 샘솟는 법전,Tome du flux éternel,Tomo del flusso perenne,Обряд вечного течения,Lehre des ewigen Flusses,Nghi Thức Dòng Chảy Vĩnh Hằng
$asset.weapon:CranesEchoingCall,CranesEchoingCall,14515,UI_EquipIcon_Catalyst_MountainGale,weaponElixir,Crane's Echoing Call,鹤鸣余音,鶴鳴餘音,鶴鳴の余韻,학의 여음,Écho de la grue,Canto della gru echeggiante,Звонкий клич журавля,Widerhallender Ruf des Kranichs,Dư Âm Tiếng Hạc
$asset.weapon:SurfsUp,SurfsUp,14516,UI_EquipIcon_Catalyst_MechaPufferfish,weaponSacrificialHeart,Surf's Up,冲浪时光,衝浪時光,サーフィンタイム,서핑 타임,Instant surfant,Vai col surf,Лови волну,Zeit fürs Wellenreiten,Thời Khắc Lướt Sóng
$asset.weapon:HuntersBow,HuntersBow,15101,UI_EquipIcon_Bow_Hunters,weaponBorealWolf,Hunter's Bow,猎弓,獵弓,狩猟弓,사냥활,Arc de chasse,Arco da caccia,Лук охотника,Jagdbogen,Cung Săn Bắn
$asset.weapon:SeasonedHuntersBow,SeasonedHuntersBow,15201,UI_EquipIcon_Bow_Old,weaponBorealWolf,Seasoned Hunter's Bow,历练的猎弓,歷練的獵弓,歴戦の狩猟弓,노련의 사냥활,Arc de chasse aguerri,Arco da caccia per esperti,Лук опытного охотника,Alter Jagdbogen,Cung Săn Bắn Tôi Luyện
$asset.weapon:RavenBow,RavenBow,15301,UI_EquipIcon_Bow_Crowfeather,weaponDecarabian,Raven Bow,鸦羽弓,鴉羽弓,鴉羽の弓,까마귀깃 활,Arc du corbeau,Arco corvino,Лук ворона,Rabenbogen,Cung Lông Quạ
$asset.weapon:SharpshootersOath,SharpshootersOath,15302,UI_EquipIcon_Bow_Arjuna,weaponBorealWolf,Sharpshooter's Oath,神射手之誓,神射手之誓,シャープシューターの誓い,신궁의 서약,Serment de l'archer,Patto del cecchino,Клятва стрелка,Eid des Scharfschützen,Lời Thề Xạ Thủ Thần
$asset.weapon:RecurveBow,RecurveBow,15303,UI_EquipIcon_Bow_Curve,weaponGladiator,Recurve Bow,反曲弓,反曲弓,リカーブボウ,곡궁,Arc courbé,Arco ricurvo,Изогнутый лук,Reflexbogen,Cung Phản Khúc
$asset.weapon:Slingshot,Slingshot,15304,UI_EquipIcon_Bow_Sling,weaponGuyun,Slingshot,弹弓,彈弓,弾弓,탄궁,Lance-pierres,Fionda,Рогатка,Steinschleuder,Nỏ Kéo
$asset.weapon:Messenger,Messenger,15305,UI_EquipIcon_Bow_Msg,weaponElixir,Messenger,信使,信使,文使い,전령,Messager,Messaggero,Посыльный,Überbringer,Tín Sứ
$asset.weapon:FavoniusWarbow,FavoniusWarbow,15401,UI_EquipIcon_Bow_Zephyrus,weaponGladiator,Favonius Warbow,西风猎弓,西風獵弓,西風猟弓,페보니우스 활,Arc de chasse de Favonius,Arco da guerra di Favonius,Боевой лук Фавония,Favonius-Jagdbogen,Cung Tây Phong
$asset.weapon:TheStringless,TheStringless,15402,UI_EquipIcon_Bow_Troupe,weaponDecarabian,The Stringless,绝弦,絕弦,絶弦,절현,Dernière corde,Monocorda,Бесструнный,Der Sehnenlose,Tuyệt Huyền
$asset.weapon:SacrificialBow,SacrificialBow,15403,UI_EquipIcon_Bow_Fossil,weaponBorealWolf,Sacrificial Bow,祭礼弓,祭禮弓,祭礼の弓,제례활,Arc rituel,Arco sacrificale,Церемониальный лук,Opferbogen,Cung Tế Lễ
$asset.weapon:RoyalBow,RoyalBow,15404,UI_EquipIcon_Bow_Theocrat,weaponGladiator,Royal Bow,宗室长弓,宗室長弓,旧貴族長弓,왕실의 장궁,Arc royal,Arco reale,Королевский лук,Königlicher Langbogen,Trường Cung Tông Thất
$asset.weapon:Rust,Rust,15405,UI_EquipIcon_Bow_Recluse,weaponGuyun,Rust,弓藏,弓藏,弓蔵,녹슨 활,Arc rouillé,Ossidazione meschina,Ржавый лук,Rostiger Bogen,Cung Rỉ Sét
$asset.weapon:PrototypeCrescent,PrototypeCrescent,15406,UI_EquipIcon_Bow_Proto,weaponElixir,Prototype Crescent,试作澹月,試作澹月,澹月·試作,담월 프로토타입,Lune paisible (prototype),Prototipo di mezzaluna,Прототип: Полумесяц,Mondschein-Prototyp,Mẫu Đạm Nguyệt
$asset.weapon:CompoundBow,CompoundBow,15407,UI_EquipIcon_Bow_Exotic,weaponAerosiderite,Compound Bow,钢轮弓,鋼輪弓,リングボウ,강철궁,Arc à poulies,Arco composto,Составной лук,Compoundbogen,Cung Thép
$asset.weapon:BlackcliffWarbow,BlackcliffWarbow,15408,UI_EquipIcon_Bow_Blackrock,weaponGuyun,Blackcliff Warbow,黑岩战弓,黑岩戰弓,黒岩の戦弓,흑암 배틀 보우,Arc de guerre de Rochenoire,Arco da guerra di Rupenera,Черногорский боевой лук,Schwarzstein-Kriegsbogen,Cung Hắc Nham
$asset.weapon:TheViridescentHunt,TheViridescentHunt,15409,UI_EquipIcon_Bow_Viridescent,weaponDecarabian,The Viridescent Hunt,苍翠猎弓,蒼翠獵弓,蒼翠の狩猟弓,청록의 사냥활,Arc de chasse verdoyant,Arco da caccia smeraldo,Зелёный лук,Grasgrüner Jagdbogen,Cung Sắc Xanh
$asset.weapon:AlleyHunter,AlleyHunter,15410,UI_EquipIcon_Bow_Outlaw,weaponGladiator,Alley Hunter,暗巷猎手,暗巷獵手,ダークアレイの狩人,뒷골목 사냥꾼,Traqueur des impasses,Cacciatore urbano,Охотник во тьме,Gassenjäger,Thợ Săn Hẻm Tối
$asset.weapon:FadingTwilight,FadingTwilight,15411,UI_EquipIcon_Bow_Fallensun,weaponAerosiderite,Fading Twilight,落霞,落霞,落霞,노을,Crépuscule couchant,Crepuscolo tenue,Гаснущие сумерки,Ausklingende Dämmerung,Lạc Hà
$asset.weapon:MitternachtsWaltz,MitternachtsWaltz,15412,UI_EquipIcon_Bow_Nachtblind,weaponDecarabian,Mitternachts Waltz,幽夜华尔兹,幽夜華爾滋,幽夜のワルツ,유야의 왈츠,Valse nocturne,Valzer notturno,Вальс Нирваны Ночи,Mitternachtswalzer,Điệu Van Ban Đêm
$asset.weapon:WindblumeOde,WindblumeOde,15413,UI_EquipIcon_Bow_Fleurfair,weaponGladiator,Windblume Ode,风花之颂,風花之頌,風花の頌歌,바람 꽃의 노래,Ode aux alizées,Ode al Florvento,Ода анемонии,Windblumenode,Bài Ca Hoa Gió
$asset.weapon:Hamayumi,Hamayumi,15414,UI_EquipIcon_Bow_Bakufu,weaponNarukami,Hamayumi,破魔之弓,破魔之弓,破魔の弓,파마궁,Arc d'exorcisme,Arco ammazzademoni,Хамаюми,Hamayumi,Cung Trừ Ma
$asset.weapon:Predator,Predator,15415,UI_EquipIcon_Bow_Predator,weaponNarukami,Predator,掠食者,掠食者,プレデター,포식자,Predator,Predatore,Хищник,Raubtier,Kẻ Săn Mồi
$asset.weapon:MouunsMoon,MouunsMoon,15416,UI_EquipIcon_Bow_Maria,weaponNarukami,Mouun's Moon,曚云之月,曚雲之月,曚雲の月,모운의 달,Lune de Mouun,Luna di Mouun,Луна Моун,Mouun-Mond,Ánh Trăng Mouun
$asset.weapon:KingsSquire,KingsSquire,15417,UI_EquipIcon_Bow_Arakalari,weaponScorchingMight,King's Squire,王下近侍,王下近侍,王の近侍,왕의 측근,Le valet du roi,Scudiere del re,Приближённый короля,Gefolgsfrau des Königs,Cận Vệ Nhà Vua
$asset.weapon:EndOfTheLine,EndOfTheLine,15418,UI_EquipIcon_Bow_Fin,weaponScorchingMight,End of the Line,竭泽,竭澤,竭沢,메마른 연못,Chalutier,Pesce da lenza,Иссушитель,Schwertfischer,Sông Cạn
$asset.weapon:IbisPiercer,IbisPiercer,15419,UI_EquipIcon_Bow_Ibis,weaponTalisman,Ibis Piercer,鹮穿之喙,䴉穿之喙,トキの嘴,꿰뚫는 따오기 부리,Perceur d'ibis,Becco d'ibis,Клюв ибиса,Durchdringer der Ibisse,Mỏ Cò Xuyên Thấu
$asset.weapon:ScionOfTheBlazingSun,ScionOfTheBlazingSun,15424,UI_EquipIcon_Bow_Gurabad,weaponScorchingMight,Scion of the Blazing Sun,烈阳之嗣,烈陽之嗣,烈日の後嗣,뜨거운 태양의 후손,Descendant du soleil flamboyant,Erede del sole ardente,Наследник слепящего солнца,Spross der flammenden Sonne,Hậu Duệ Mặt Trời
